Signal Legend:

Key        Signal Name

0        = data0[0..13]
1        = data0[14]
2        = data0[15]

Data Table:

Signals-> 0     1 2 

sample

-178      004Ch 0 0 
-177      0052h 0 0 
-176      3EDAh 0 0 
-175      004Eh 0 0 
-174      004Ch 0 0 
-173      0052h 0 0 
-172      3EEDh 0 0 
-171      004Dh 0 0 
-170      004Eh 0 0 
-169      0063h 0 0 
-168      3EEFh 0 0 
-167      004Bh 0 0 
-166      004Dh 0 0 
-165      0050h 0 0 
-164      3EE1h 0 0 
-163      0052h 0 0 
-162      004Dh 0 0 
-161      0059h 0 0 
-160      3ED4h 0 0 
-159      004Dh 0 0 
-158      004Dh 0 0 
-157      0051h 0 0 
-156      3ECDh 0 0 
-155      0050h 0 0 
-154      004Ch 0 0 
-153      0052h 0 0 
-152      3ECCh 0 0 
-151      004Eh 0 0 
-150      004Eh 0 0 
-149      0052h 0 0 
-148      3EF1h 0 0 
-147      0050h 0 0 
-146      004Dh 0 0 
-145      0051h 0 0 
-144      3EEFh 0 0 
-143      004Ch 0 0 
-142      004Dh 0 0 
-141      0051h 0 0 
-140      3EC1h 0 0 
-139      004Eh 0 0 
-138      004Ch 0 0 
-137      0052h 0 0 
-136      3EEBh 0 0 
-135      004Dh 0 0 
-134      004Dh 0 0 
-133      0052h 0 0 
-132      3EDDh 0 0 
-131      004Eh 0 0 
-130      0051h 0 0 
-129      0056h 0 0 
-128      3ED9h 0 0 
-127      004Dh 0 0 
-126      004Fh 0 0 
-125      004Eh 0 0 
-124      3EEFh 0 0 
-123      004Bh 0 0 
-122      004Dh 0 0 
-121      0051h 0 0 
-120      3ECDh 0 0 
-119      004Eh 0 0 
-118      004Dh 0 0 
-117      0051h 0 0 
-116      3ED3h 0 0 
-115      004Eh 0 0 
-114      004Dh 0 0 
-113      0053h 0 0 
-112      3EDCh 0 0 
-111      004Eh 0 0 
-110      004Dh 0 0 
-109      0046h 0 0 
-108      3EDBh 0 0 
-107      004Ch 0 0 
-106      004Bh 0 0 
-105      0056h 0 0 
-104      3EE2h 0 0 
-103      004Eh 0 0 
-102      004Eh 0 0 
-101      0050h 0 0 
-100      3EE1h 0 0 
-99       0048h 0 0 
-98       004Dh 0 0 
-97       0047h 0 0 
-96       3EDFh 0 0 
-95       0052h 0 0 
-94       004Dh 0 0 
-93       0051h 0 0 
-92       3ED9h 0 0 
-91       004Eh 0 0 
-90       004Dh 0 0 
-89       0053h 0 0 
-88       3F1Ah 0 0 
-87       004Eh 0 0 
-86       004Dh 0 0 
-85       0054h 0 0 
-84       3EE8h 0 0 
-83       004Bh 0 0 
-82       004Ch 0 0 
-81       004Dh 0 0 
-80       3EF1h 0 0 
-79       004Eh 0 0 
-78       004Ah 0 0 
-77       0052h 0 0 
-76       3EE4h 0 0 
-75       004Dh 0 0 
-74       004Ah 0 0 
-73       0053h 0 0 
-72       3EDCh 0 0 
-71       004Eh 0 0 
-70       004Dh 0 0 
-69       0053h 0 0 
-68       3EDBh 0 0 
-67       004Eh 0 0 
-66       0049h 0 0 
-65       0053h 0 0 
-64       3EE0h 0 0 
-63       004Dh 0 0 
-62       004Eh 0 0 
-61       0053h 0 0 
-60       3EDBh 0 0 
-59       004Eh 0 0 
-58       004Fh 0 0 
-57       0053h 0 0 
-56       3EDFh 0 0 
-55       004Eh 0 0 
-54       0049h 0 0 
-53       0050h 0 0 
-52       3EDFh 0 0 
-51       004Dh 0 0 
-50       0052h 0 0 
-49       0051h 0 0 
-48       3EE0h 0 0 
-47       004Dh 0 0 
-46       004Bh 0 0 
-45       0051h 0 0 
-44       3EF8h 0 0 
-43       004Ch 0 0 
-42       004Eh 0 0 
-41       0054h 0 0 
-40       3ED4h 0 0 
-39       004Eh 0 0 
-38       004Dh 0 0 
-37       004Fh 0 0 
-36       3EDDh 0 0 
-35       004Fh 0 0 
-34       004Dh 0 0 
-33       0053h 0 0 
-32       3EDAh 0 0 
-31       004Dh 0 0 
-30       004Eh 0 0 
-29       0051h 0 0 
-28       3ED2h 0 0 
-27       004Eh 0 0 
-26       004Ch 0 0 
-25       0051h 0 0 
-24       3EC6h 0 0 
-23       004Dh 0 0 
-22       004Dh 0 0 
-21       004Fh 0 0 
-20       3ED5h 0 0 
-19       0051h 0 0 
-18       004Dh 0 0 
